13904          0      27413
13904      27414      46992
13904      46993      66567
13904      66568      83353
13904      83354     107253
14183          0      19574
14183      19575      39152
14183      39153      58726
14183      58727      78305
14183      78306      97884
14183      97885     117466
14183     117467     137043
14183     137044     156620
14184          0      18886
14185          0      19579
14185      19580      39158
14185      39159      57664
14185      57665      77245
14185      77246      96829
14185      96830     116410
14185     116411     135984
14185     135985     155559
14186          0      23493
14186      23494      43072
14186      43073      62646
14186      62647      82224
14186      82225     101802
14186     101803     121378
14186     121379     140956
14186     140957     160536
14195          0      19580
14195      19581      39153
14195      39154      58727
14195      58728      78304
14195      78305      97884
14195      97885     117464
14195     117465     137038
14195     137039     156615
14196          0      19571
14196      19572      36849
14196      36850      52739
14196      52740      72318
14196      72319      91893
14196      91894     111463
14196     111464     131028
14196     131029     150604
14459          0      17925
14459      17926      35560
14459      35561      61680
14460          0       9211
14460       9212      30233
14460      30234      51586
14461          0      38372
14461      38373      52930
14461      52931      66898
14461      66899      83507
14461      83508      96857
14461      96858     110519
14461     110520     124269
14461     124270     137477
14635          0      26783
14635      26784      39771
15884          0      32869
15884      32870      68133
15884      68134     101082
15884     101083     135755
15884     135756     171000
17238          0      35742 
17238      35743      56604 
17238      56605      85085 
17238      85086     108872 
17238     108873     137443 
17239          0      16419 
17239      16420      44525 
17239      44526      63927 
17239      63928      81243 
17239      81244     113151 
17247          0      27408 
17247      27409      58738 
17247      58739      93962 
17248          0      19570 
17248      19571      43060 
17248      43061      70459 
17248      70460     104905 
17248     104906     140143 
17248     140144     172141 
17248     172142     207375 
17249          0      23483 
17249      23484      54807 
17249      54808      90038 
17249      90039     122361 
17249     122362     157598 
17249     157599     185573 
17250          0      23492 
17250      23493      58731 
17250      58732      90052 
17250      90053     125285 
17250     125286     156956 
17250     156957     188275 
17260          0      27397 
17260      27398      62625 
17260      62626      97863 
17261          0      19577 
17261      19578      39152 
17261      39153      70463 
17261      70464      97867 
17261      97868     129178 
17262          0      19570 
17262      19571      43059 
17262      43060      82207 
17262      82208     111345 
17263          0      41241 
17263      41242      87680 
17263      87681     115425 
17264          0      19576 
17264      19577      46975 
17264      46976      74379 
17264      74380     109606 
17264     109607     144842 
17264     144843     165728 
17265          0      19567 
17265      19568      58102 
17265      58103      80573 
17265      80574     100141 
17266          0      23488 
17266      23489      43064 
17266      43065      62634 
17266      62635      97871 
17267          0      54803 
17267      54804      91872 
17268          0      23491 
17268      23492      84890 
17271          0      19578 
17271      19579      64810 
17271      64811      92217 
17271      92218     127446 
17272          0      27388 
17272      27389      49067 
17272      49068      72538 
17272      72539     101165 
17273          0      23491 
17273      23492      58713 
17273      58714     143768 
17273     143769     179005 
17274          0      23485 
17274      23486      58720 
17274      58721      90040 
17274      90041     121364 
17274     121365     148769 
17275          0      19575 
17275      19576      43065 
17275      43066      94507 
17275      94508     117997 
17275     117998     145393 
17276          0      41586 
17276      41587      65071 
17276      65072     100311 
17276     100312     135550 
17276     135551     170783 
17277          0      19573 
17277      19574      39858 
17277      39859      75092 
17277      75093     102490 
17277     102491     161208 
17278          0      19577 
17278      19578      40200 
17278      40201     117558 
17279          0      19572 
17279      19573      43064 
17279      43065      66700 
17279      66701     101934 
17279     101935     137177 
