14197      55750      68608
14197      68609      83499
14197      83500      85893
14197      55750      68608
14197      68609      83499
14197      83500      85893
14200       1160       5084
14200      10554      16436
14200      20740      25465
14201          0       3712
14201      35664      54668
14249      39159      55561
14460       9212      25744
14501      79730      92858
14523          0      20822
14541      28259      41563
14541      41564      54608
14547      13282      30351
14548      57436      70741
14550     100920     113461
14555      64399      77344
14584      46564      67399
14589      19570      35799
14590      12022      25124
14638      65684      86651
14597      80209      94063
14670          0      10556
14670      21914      35125
14599      59022      75361
14623      45769      58726
14632      52855      65801
14670      21914      35125
14670      35126      42685
14671          0       4478
14672      14631      21558
14673          0       7025
14673       7026      12976
15508      84024     121830
15589      85952     127754
15794      50646      78060
15936      46987      86980
15942      46985      98137
15973      55649      78156
15982      44829      68914
15982      68915      99151
15983      16114      31946
15983      31947      43581
15983      43582      54148
16193          0      17143
16295          0      35306
16322          0      16451
16352          0      20984
16665          0      25845
16759      74394      98526
18807     131465     161217
